asin,title,title_score,thumbnail_score,price_score,trust_score,position_score,search_score,search_rank
B0H3P53ZL9,"Esszimmerstühle 2er Set, 360° drehbar mit Armlehnen, doppelt gepolsterte Chenille-Stühle grau, ergonomische Rückenlehne, bis 160 kg/Stuhl",61.28,88.14,30.0,57.82,23.78,60.2,57.0
B0GT4K1VS8,"Runder Esstisch und Stühle für 4 Personen, MDF-Esstisch mit PU-Leder Gepolsterten Stühlen, Küchetisch Set Sitzgruppe für Küche für Küche, Wohnzimmer, Balkon, Restaurant, Büro (Rund Schwarz-Weiß)",46.62,76.68,5.0,53.23,21.86,48.24,98.0
B0BF46JJB8,HOMCOM 3 TLG Esszimmergruppe Essgruppe mit 2 Stühlen und 1 Tisch Esstisch Set mit Klappbarer Tischplatte für Küche kleine Raume Stahl MDF Natur+Weiß 110 x 70 x 75 cm,56.07,44.93,74.0,61.85,23.46,53.31,86.0
B0DNN6PJ6P,"WOLTU Esstisch Set mit 4 Stühlen, Essgruppe für 4 Personen, Sitzgruppe Küche Esszimmer, Küchentisch Tisch mit Metallgestell, Vintage Braun",64.94,55.04,69.0,67.99,21.96,58.89,69.0
B0DS21J9RG,"Essgruppe 5-Teilig, 100cm Runder Esstisch und 4 Esszimmerstühle (Cord), Tisch und 4 Stühle für Küche, Wohnzimmer, Balkon, Restaurant, Büro (Helle Holzfarbe+Grau (Cord))",63.03,80.9,24.0,68.89,23.96,59.8,61.0
B0CL9XMM7Y,"WOLTU Esszimmerstühle 4er Set, für Esszimmer Wohnzimmer, ergonomische Küchenstühle gepolstert mit Armlehnen, Metallbeinen, Sitzfläche aus Samt, Dunkelgrau",63.39,76.83,22.0,78.23,23.7,60.21,56.0
B0CX8TRVSS,"EUGAD Esszimmerstühle 2er Set drehbar, für Esszimmer Wohnzimmer, Bequeme Küchenstühle mit Armlehnen, Rückenlehne, Metallbeinen, modern, Dunkelgrau",59.71,56.2,52.0,71.12,21.67,55.98,79.0
B07DGPWLX2,"Yaheetech 2er Set Esszimmerstühle Küchenstuhl Schwingstuhl Essgruppe, mit hoher Rückenlehne, bequem gepolstert, Edelstahl und Kunstleder, Weiß",62.52,94.25,88.0,77.49,23.54,74.96,2.0
B0811RBBY7,"WOLTU Esszimmerstühle 2er Set, für Wohnzimmer Küche Esszimmer, Küchenstühle gepolstert mit Rückenlehne, Sitzfläche aus Samt, mit Metallbeinen, bis 150 kg belastbar,Blau",58.02,83.59,84.0,84.39,23.62,71.42,9.0
B0CFL7Q3G4,"JIJIAN 4er Set Esszimmerstühle, Gepolsterte Stühle mit Leinenstoff und Schwarzen Metallbeinen, Schachbrettmuster, Esszimmerstühle für Esszimmer Wohnzimmer Küche, Grau",57.49,70.34,61.0,75.71,21.91,61.96,43.0
B00I0UOESG,"Hela Tische 4er Set Schwingstuhl, Küchenstuhl Flora, Kunstleder Grün, Griffmulde, Metallgestell verchromt, 42x57x98 cm",65.81,96.58,23.0,79.08,23.38,67.03,22.0
B0D53DDQFD,"SONGMICS Esszimmerstuhl 2er Set, Küchenstuhl, Samt,Polsterstuhl, bis 120 kg belastbar, Stahlbeine, Gebogene Rückenlehne, für Esszimmer, Küche, grau-tintenschwarz LDC090G05",46.02,82.04,90.0,71.98,23.31,66.34,25.0
B0DDC1C1GN,"Ymkua Esstisch mit 4 Stühlen Set, 117x68x75 cm Rechteckiger Esstisch, Esszimmergruppe, Moderne Küche Esstisch Set, Esszimmerstuhl Küchenstuhl Sets, Küchentisch Set für Wohnzimmer und Küche (Gray)",59.46,91.0,29.0,63.69,23.23,61.58,47.0
B0H29F2KQB,"Essgruppe mit 4 Stühlen aus Leinen, Esstisch Set mit Tischplatte(85 x 85cm) aus Walnussholz, Dining Table Set mit rutschfeste Fußpolster, für Küchen und Esszimmer, Beige",64.92,80.37,3.0,62.41,21.58,55.43,84.0
B0GZKBLVWV,"Esszimmertisch-Set 1 Tisch 2 Stühle, Küchentisch mit gepolsterten Stühlen, kompaktes Esstisch-Set aus Holz und Eisengestell, platzsparend, pflegeleicht, einfache Montage, Zementgrau",59.64,50.53,90.0,48.76,23.09,55.63,83.0
B0GMPX8YJG,"Esstisch- und Stuhlset, 4 Cord mit Hoher Rückenlehne und EIN 100 cm Langer Moderner Runder Esstisch, Geeignet für Küchen, Esszimmer und Wohnzimmer (Hell + Hellgrau)",61.5,81.25,34.0,67.22,21.62,60.46,54.0
