asin,image_type,image_index,image_url
B0FVLQMK31,a_plus,8,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/efb6a3b8-4b5d-4b8d-80c3-30bc05521202.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,9,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a511f291-fde2-4305-9a8e-56fa299c2066.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,10,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/021d8163-45d5-4b2c-b5c5-d752410c82a4.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,11,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/1bf7fafc-dc93-4cb9-8a4d-ace8ba1c78b6.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,12,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/2afc4150-30eb-440e-a38a-d5f68c548583.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,13,"https://m.media-amazon.com/images/I/51m%2Bzrn8ouL.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,14,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/aa78d756-66f2-45db-bb79-a767174f0a5c.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,15,"https://m.media-amazon.com/images/I/41vxy5lHbEL.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,16,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/d594ca40-63e1-493f-9f78-4aadb12669f4.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,17,"https://m.media-amazon.com/images/I/51vHq20WZbL.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,18,"https://m.media-amazon.com/images/I/31GJgwvkhEL.__AC_SR200,225___.jpg"
B0FVLQMK31,a_plus,19,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/ced90479-00f8-4187-9910-3d2c6842ff4a/default.jobtemplate.hls.m3u8
B0FVLQMK31,a_plus,20,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/3bd5bfea-7dfc-44f0-9e0a-b2b973a6bfdf/default.jobtemplate.hls.m3u8
B0FVLQMK31,a_plus,21,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/8320449d-2c97-4592-9497-e37184fb3497.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,22,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/18bd8c40-938b-4b14-903b-7f88b3e5a3f5.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,23,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/89cd1e95-0231-4641-bac8-1d96c76817e3.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,24,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/dc30321f-2ffd-4550-befc-877ec1867420.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,25,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a84dffe7-5f38-4eb6-b66f-e3956f816c83.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,26,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/ced90479-00f8-4187-9910-3d2c6842ff4a/default.jobtemplate.hls.m3u8
B0FVLQMK31,a_plus,27,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/617ceb3e-6283-48a3-9670-c853189bdd82.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,28,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/09725d55-4781-4f44-8f81-9ab74df8bd14.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,29,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/708c84bf-ae57-4812-9777-ba90fe2db696.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,30,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/efb6a3b8-4b5d-4b8d-80c3-30bc05521202.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,31,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a511f291-fde2-4305-9a8e-56fa299c2066.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,32,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/021d8163-45d5-4b2c-b5c5-d752410c82a4.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,33,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/1bf7fafc-dc93-4cb9-8a4d-ace8ba1c78b6.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,34,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/3bd5bfea-7dfc-44f0-9e0a-b2b973a6bfdf/default.jobtemplate.hls.m3u8
B07SF5LP9K,high_resolution,0,https://m.media-amazon.com/images/I/61fqWZsIRYL._AC_SL1500_.jpg
B07SF5LP9K,high_resolution,1,https://m.media-amazon.com/images/I/81PQ6JrEwIL._AC_SL1500_.jpg
B07SF5LP9K,high_resolution,2,https://m.media-amazon.com/images/I/61-h6VBQOKL._AC_SL1500_.jpg
B07SF5LP9K,high_resolution,3,https://m.media-amazon.com/images/I/51u56-vBgZL._AC_SL1230_.jpg
B07SF5LP9K,high_resolution,4,https://m.media-amazon.com/images/I/71+01yRcZHL._AC_SL1500_.jpg
B07SF5LP9K,high_resolution,5,https://m.media-amazon.com/images/I/71BZgoTg1gL._AC_SL1500_.jpg
